trace_id,phase0_selector,phase0_source,coverage_status,trace_class,semantic_justification,semantic_review_verdict,phase1_selectors,evidence_paths,notes
TRACE-SFA-P0-FR-008,SFA-P0-FR-008,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-VAL-008,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/requirement_trace_registry.csv,Expanded from TRACE-P0-TRACEABILITY. Requirement trace validation checks ID uniqueness and Phase 0 coverage.
TRACE-SFA-P0-NFR-003,SFA-P0-NFR-003,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-VAL-008,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/requirement_trace_registry.csv,Expanded from TRACE-P0-TRACEABILITY. Requirement trace validation checks ID uniqueness and Phase 0 coverage.
TRACE-SFA-P0-NFR-006,SFA-P0-NFR-006,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-VAL-008,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/requirement_trace_registry.csv,Expanded from TRACE-P0-TRACEABILITY. Requirement trace validation checks ID uniqueness and Phase 0 coverage.
TRACE-SFA-P0-NFR-013,SFA-P0-NFR-013,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-VAL-008,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/requirement_trace_registry.csv,Expanded from TRACE-P0-TRACEABILITY. Requirement trace validation checks ID uniqueness and Phase 0 coverage.
TRACE-SFA-CORE-AJ-001,SFA-CORE-AJ-001,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-CORE-AJ-002,SFA-CORE-AJ-002,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-CORE-AJ-003,SFA-CORE-AJ-003,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-CORE-CONT-001,SFA-CORE-CONT-001,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-CORE-CONT-002,SFA-CORE-CONT-002,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-P0-FR-017,SFA-P0-FR-017,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-P0-FR-018,SFA-P0-FR-018,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-P0-FR-019,SFA-P0-FR-019,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-P0-FR-020,SFA-P0-FR-020,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-P0-FR-021,SFA-P0-FR-021,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-P0-NFR-010,SFA-P0-NFR-010,SRC-PRD-P0,partial,scaffolded,Phase 1 validates initial control-record surfaces; full continuation orchestration remains later-phase work.,sufficient,SFA-P1-INIT-YAML-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/control_records/examples/phase1_smoke_agentjob.yaml;sys-for-ai/control_records/examples/handoff.example.yaml;sys-for-ai/control_records/examples/completion_receipt.example.yaml;sys-for-ai/control_records/examples/state_snapshot.example.yaml;sys-for-ai/registries/control_record_registry.csv;sys-for-ai/sys_for_ai/validators.py;sys-for-ai/Makefile,Expanded from TRACE-P0-AGENTJOB-CONTINUE. Phase 1 validates the initial AgentJob and related YAML control surfaces.
TRACE-SFA-CORE-PY-001,SFA-CORE-PY-001,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-*;SFA-P1-INIT-ENV-*;SFA-P1-INIT-DEP-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/pyproject.toml,Expanded from TRACE-P0-PYTHON. Phase 1 establishes the local Python reference scaffold and dependency policy.
TRACE-SFA-CORE-PY-002,SFA-CORE-PY-002,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-*;SFA-P1-INIT-ENV-*;SFA-P1-INIT-DEP-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/pyproject.toml,Expanded from TRACE-P0-PYTHON. Phase 1 establishes the local Python reference scaffold and dependency policy.
TRACE-SFA-CORE-PY-003,SFA-CORE-PY-003,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-*;SFA-P1-INIT-ENV-*;SFA-P1-INIT-DEP-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/pyproject.toml,Expanded from TRACE-P0-PYTHON. Phase 1 establishes the local Python reference scaffold and dependency policy.
TRACE-SFA-P0-NFR-015,SFA-P0-NFR-015,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-REPO-*;SFA-P1-INIT-ENV-*;SFA-P1-INIT-DEP-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/pyproject.toml,Expanded from TRACE-P0-PYTHON. Phase 1 establishes the local Python reference scaffold and dependency policy.
TRACE-SFA-CORE-YAML-001,SFA-CORE-YAML-001,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-002,SFA-CORE-YAML-002,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-003,SFA-CORE-YAML-003,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-004,SFA-CORE-YAML-004,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-005,SFA-CORE-YAML-005,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-006,SFA-CORE-YAML-006,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-007,SFA-CORE-YAML-007,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-008,SFA-CORE-YAML-008,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-009,SFA-CORE-YAML-009,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-CORE-YAML-010,SFA-CORE-YAML-010,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
TRACE-SFA-P0-FR-033,SFA-P0-FR-033,SRC-PRD-P0,covered,implemented,,,SFA-P1-INIT-YAML-*;SFA-P1-INIT-MEM-*;SFA-P1-INIT-VAL-*,PRDs/sys-for-ai_phase-0_product_system_design_prd.md;PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md;sys-for-ai/registries/control_record_registry.csv,Expanded from TRACE-P0-YAML. YAML control-state requirements map to examples registry rows contracts and validators.
